1Jy 0003-00 | *3C2, radec J2000, 0:06:22.5984h, -0:04:23.952d, (16 31400 3.15 -0.8 0 0 -0.69 -1)
1Jy 0003-06, radec J2000, 0:06:13.908h, -6:23:34.908d, (408 31400 -0.14 0.06 0 0 4.21 -1)
1Jy 0008-42, radec J2000, 0:10:53.0472h, -41:52:51.384d, (468 5009 8.09 -1.98 0 0 -27.97 -1)
1Jy 0010+40, radec J2000, 0:13:31.0272h, 40:51:41.652d, (408 31400 -1.6 0.31 0 0 19.17 -1)
1Jy 0013+79 | *3C6.1, radec J2000, 0:16:32.2608h, 79:16:51.672d, (38 31400 3.551 -0.9572)
1Jy 0016+73, radec J2000, 0:19:45.7272h, 73:27:30.348d, (408 31400 -0.6009 0.2055)
1Jy 0019-00, radec J2000, 0:22:25.4448h, 0:14:55.932d, (318 10695 7.4 -1.78 0 0 -31.28 -1)
1Jy 0022-29, radec J2000, 0:24:30.3744h, -29:28:53.688d, (80 10695 3.18 -0.86)
1Jy 0022-423, radec J2000, 0:24:42.9912h, -42:02:03.444d, (800 8870 10.64 -2.4 0 0 -61.26 -1)
1Jy 0023-26, radec J2000, 0:25:49.1472h, -26:02:15.72d, (80 31400 4.19 -0.94 0 0 -6.26 -1)
1Jy 0026+34, radec J2000, 0:29:14.2536h, 34:56:32.568d, (365 31400 3.1 -0.72 0 0 -13.15 -1)
1Jy 0034-01 | *3C15, radec J2000, 0:37:04.0872h, -1:09:08.388d, (12 31400 3.18 -0.81 0 0 -1.03 -1)
1Jy 0035-02 | *3C17, radec J2000, 0:38:20.4552h, -2:07:38.46d, (12 31400 3.03 -0.7 0 0 0.23 -1)
1Jy 0038+32 | *3C19, radec J2000, 0:40:55.056h, 33:10:08.4d, (26 14900 3.84 -1 0 0 -4.12 -1)
1Jy 0038+09 | *3C18, radec J2000, 0:40:50.2656h, 10:03:22.644d, (15 31400 3 -0.75)
1Jy 0039-44, radec J2000, 0:42:08.9976h, -44:14:02.04d, (80 8870 3.15 -0.83)
1Jy 0040+51 | *3C20.0, radec J2000, 0:43:08.9064h, 52:03:32.616d, (26 14900 3.97 -0.9 0 0 -2.33 -1)
1Jy 0042-35, radec J2000, 0:44:41.3736h, -35:30:28.008d, (800 5009 2.537 -0.682)
1Jy 0043-42, radec J2000, 0:46:17.6832h, -42:07:42.852d, (80 31400 3.21 -0.73)
1Jy 0045-25, radec J2000, 0:47:32.8848h, -25:17:18.96d, (80 31400 3.2 -0.77)
1Jy 0047-579, radec J2000, 0:49:59.6112h, -57:38:28.176d, (800 5009 -0.8338 0.3282)
1Jy 0048-09, radec J2000, 0:50:41.3256h, -9:29:05.46d, (365 90000 -0.8074 0.3024)
1Jy 0055+30, radec J2000, 0:57:48.888h, 30:21:08.64d, (178 90000 0.9413 -0.2178)
1Jy 0055-01 | *3C29, radec J2000, 0:57:34.8264h, -1:23:33.792d, (12 31400 2.63 -0.62 0 0 1.16 -1)
1Jy 0056-00, radec J2000, 0:59:05.5128h, 0:06:51.876d, (318 90000 1.56 -0.37)
1Jy 0056-572, radec J2000, 0:58:46.6032h, -56:59:11.04d, (800 5000 -2.1 0.5788)
1Jy 0104+32 | *3C31, radec J2000, 1:07:27.3936h, 32:24:08.244d, (26 22000 2.98 -0.7 0 0 -1.02 -1)
1Jy 0105-16 | *3C32, radec J2000, 1:08:16.9368h, -16:04:21.288d, (80 10695 5.93 -1.54 0 0 -9.85 -1)
1Jy 0106+13 | *3C33, radec J2000, 1:08:50.3808h, 13:18:32.436d, (13 10695 3.32 -0.7)
1Jy 0106+01, radec J2000, 1:08:38.7672h, 1:35:00.384d, (318 90000 -0.1755 0.1774)
1Jy 0108+38, radec J2000, 1:11:37.3296h, 39:06:28.116d, (800 31400 14.12 -2.99 0 0 -119 -1)
1Jy 0112-01, radec J2000, 1:15:17.0304h, -1:27:03.024d, (318 31400 -0.34 0.11)
